filename,unlabelled(0),static(1),ground(2),road(3),sidewalk(4),parking(5),rail track(6),building(7),wall(8),fence(9),guard rail(10),bridge(11),tunnel(12),pole(13),polegroup(14),traffic light(15),traffic sign(16),vegetation(17),terrain(18),sky(19),person(20),rider(21),car(22),truck(23),bus(24),caravan(25),trailer(26),train(27),motorcycle(28),bicycle(29),license plate(30)
hongdae_image_0_heading_0.jpg,11.932373046875,14.276123046875,21.282958984375,1.7822265625,4.1748046875,18.365478515625,4.119873046875,24.066162109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_0_heading_0.jpg,11.932373046875,14.276123046875,21.282958984375,1.7822265625,4.1748046875,18.365478515625,4.119873046875,24.066162109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_0_heading_180.jpg,9.521484375,22.03369140625,15.216064453125,0.067138671875,2.2216796875,14.251708984375,5.18798828125,31.500244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_0_heading_270.jpg,16.229248046875,1.3916015625,19.989013671875,4.8095703125,0.531005859375,6.54296875,2.0751953125,48.431396484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_0_heading_90.jpg,15.106201171875,6.31103515625,34.930419921875,0.2197265625,0.8544921875,0.0,9.1796875,33.3984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_10_heading_0.jpg,10.15625,16.217041015625,51.50146484375,0.1708984375,0.08544921875,3.0029296875,10.284423828125,8.58154296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_10_heading_180.jpg,11.3525390625,19.964599609375,35.72998046875,0.848388671875,4.13818359375,0.0,12.3779296875,15.58837890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_10_heading_270.jpg,12.80517578125,3.692626953125,43.59130859375,0.213623046875,0.0244140625,2.349853515625,26.23291015625,11.090087890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_10_heading_90.jpg,10.75439453125,18.37158203125,28.18603515625,1.64794921875,2.703857421875,3.265380859375,25.140380859375,9.930419921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_11_heading_0.jpg,9.979248046875,13.5009765625,40.85693359375,1.300048828125,2.42919921875,1.275634765625,10.870361328125,19.78759765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_11_heading_180.jpg,11.92626953125,15.509033203125,31.976318359375,1.15966796875,0.1708984375,0.927734375,23.1201171875,15.2099609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_11_heading_270.jpg,15.02685546875,7.366943359375,37.4755859375,1.2451171875,2.99072265625,2.18505859375,19.482421875,14.227294921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_11_heading_90.jpg,13.623046875,16.900634765625,19.818115234375,0.189208984375,0.531005859375,4.901123046875,23.895263671875,20.1416015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_12_heading_0.jpg,13.153076171875,16.22314453125,27.86865234375,0.286865234375,0.0,1.318359375,14.788818359375,26.361083984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_12_heading_180.jpg,12.24365234375,16.39404296875,31.21337890625,0.93994140625,0.20751953125,0.0,31.353759765625,7.647705078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_12_heading_270.jpg,13.177490234375,18.218994140625,30.474853515625,0.35400390625,0.0,2.203369140625,20.47119140625,15.10009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_12_heading_90.jpg,9.5703125,19.20166015625,22.509765625,1.202392578125,0.0,2.667236328125,21.087646484375,23.760986328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_13_heading_0.jpg,9.31396484375,22.308349609375,49.27978515625,0.6103515625,0.20751953125,0.18310546875,12.9150390625,5.181884765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
